sequence,query count,preprocesing time,search time,threads
100 eColi strains,1,22.88,131.7625,1
100 eColi strains,1,0.52,131.6663,1
100 eColi strains,1,0.51,131.0157,1
100 eColi strains,1,0.54,131.0389,1
100 eColi strains,1,0.47,131.4098,1
100 eColi strains,1,0.51,130.9856,4
100 eColi strains,1,0.55,131.9957,4
100 eColi strains,1,0.51,131.2048,4
100 eColi strains,1,0.49,131.0603,4
100 eColi strains,1,0.53,131.042,4
100 eColi strains,2,,,1
100 eColi strains,2,,,1
100 eColi strains,2,,,1
100 eColi strains,2,,,1
100 eColi strains,2,,,1
100 eColi strains,2,24.52,149.2375,4
100 eColi strains,2,23.05,149.7042,4
100 eColi strains,2,23.22,148.4659,4
100 eColi strains,2,23.14,148.511,4
100 eColi strains,2,22.91,148.2996,4
